id,first_part,second_part
23140835    3625108,23140835,   3625108
3650584,3650584,
3383991,3383991,
22959727     3532594,22959727,    3532594
23639206,23639206,
3601331,3601331,
3713434,3713434,
3629567,3629567,
3629571,3629571,
3657696,3657696,
3684773,3684773,
18755526,18755526,
23396186    3757163,23396186,   3757163
3550523,3550523,
,,
3734349,3734349,
3734350,3734350,
3734351,3734351,
3734352,3734352,
,,
3677092,3677092,
3021391,3021391,
2877799,2877799,
3459091,3459091,
3549495,3549495,
23034517     3480648,23034517,    3480648
3590453,3590453,
3520011,3520011,
3547173,3547173,
,,
3708127,3708127,
23194819     3555187,23194819,    3555187
3566585,3566585,
3610031,3610031,
3566546,3566546,
3682182,3682182,
3591253,3591253,
3682191,3682191,
3605597,3605597,
3613798,3613798,
3625122,3625122,
3625125,3625125,
,,
,,
,,
,,
,,
23845426,23845426,
23085109    3580290,23085109,   3580290
3841574,3841574,
3427859,3427859,
3752973,3752973,
,,
3580285,3580285,
3748348,3748348,
2875410,2875410,
3458212,3458212,
3778433,3778433,
3778432,3778432,
3546162,3546162,
3562439,3562439,
3724054,3724054,
3702998,3702998,
2013,2013,
24056298,24056298,
3557385,3557385,
3611598,3611598,
23178227    3611599,23178227,   3611599
3746156,3746156,
23500098     3661980,23500098,    3661980
3746156,3746156,
3788850,3788850,
3725411,3725411,
3556777,3556777,
,,
2779337,2779337,
3694301,3694301,
3560059,3560059,
3549497,3549497,
23707280,23707280,
,,
3763373,3763373,
3638232,3638232,
23892176,23892176,
3149299,3149299,
23375993          3712186,23375993,         3712186
22964003,22964003,
3722482,3722482,
3509192,3509192,
22796629    3824070,22796629,   3824070
3636455,3636455,
3445812,3445812,
3405529,3405529,
23332733    3712184,23332733,   3712184
3763377,3763377,
3632752,3632752,
21764562     3485562,21764562,    3485562
22704639    3485564,22704639,   3485564
3672980,3672980,
3765962,3765962,
3675686,3675686,
3611601,3611601,
3611603,3611603,
3560061,3560061,
3512055,3512055,
23287458    3605587,23287458,   3605587
3223522,3223522,
3526787,3526787,
23623732    3791409,23623732,   3791409
3542428,3542428,
3651934,3651934,
3664939,3664939,
3694306,3694306,
3635120,3635120,
,,
3661977,3661977,
23375655     3567274,23375655,    3567274
3135804,3135804,
3169830,3169830,
3484648,3484648,
3573229,3573229,
,,
3525981,3525981,
,,
3627205,3627205,
,,
23041239           3490334,23041239,          3490334
23773811,23773811,
3528949,3528949,
3183225,3183225,
2013,2013,
21940062    3814186,21940062,   3814186
3605582,3605582,
3491314,3491314,
23265842    3569712,23265842,   3569712
3794160,3794160,
,,
,,
,,
,,
,,
,,
3759846,3759846,
3608034,3608034,
3763375,3763375,
24035434,24035434,
3763374,3763374,
3404461,3404461,
23117109,23117109,
3757156,3757156,
3611597,3611597,
,,
3791421,3791421,
23201205,23201205,
2013,2013,
23200744     3552157,23200744,    3552157
3708126,3708126,
3685808,3685808,
3476528,3476528,
20097205,20097205,
3507620,3507620,
3771416,3771416,
3724053,3724053,
3778404,3778404,
23312521    3542422,23312521,   3542422
3568920,3568920,
3763376,3763376,
23394834    3629559,23394834,   3629559
23772376    3668512,23772376,   3668512
3740234,3740234,
23498957    3601332,23498957,   3601332
3480985,3480985,
3724961,3724961,
3612801,3612801,
3462937,3462937,
3752522,3752522,
3507519,3507519,
,,
3599069,3599069,
22919070,22919070,
,,
23982145,23982145,
3819510,3819510,
3685014,3685014,
,,
23118027,23118027,
3767752,3767752,
23371065           3633812,23371065,          3633812
3574292,3574292,
3606528,3606528,
3513842,3513842,
3659926,3659926,
22419580    3487588,22419580,   3487588
3689257,3689257,
3685810,3685810,
3689323,3689323,
3677134,3677134,
,,
3668263,3668263,
3644713,3644713,
,,
3747673,3747673,
3759789,3759789,
,,
3567503,3567503,
3735983,3735983,
23720616     3654214,23720616,    3654214
,,
,,
3747448,3747448,
3502006,3502006,
3444764,3444764,
3564010,3564010,
,,
3676342,3676342,
3639404,3639404,
3554956,3554956,
3557415,3557415,
3521128,3521128,
3715722,3715722,
23805144    3693486,23805144,   3693486
3540408,3540408,
3487150,3487150,
23847615    3696884,23847615,   3696884
3590462,3590462,
3717328,3717328,
,,
3646239,3646239,
3492750,3492750,
23256812,23256812,
24024949,24024949,
23209475           3504370,23209475,          3504370
3613096,3613096,
23476740,23476740,
3777123,3777123,
23494299,23494299,
3717797,3717797,
23154538    3717798,23154538,   3717798
23256604           3587388,23256604,          3587388
23879611,23879611,
23154792,23154792,
23220929,23220929,
3535694,3535694,
3564972,3564972,
,,
,,
3565438,3565438,
3498934,3498934,
22993091    3447403,22993091,   3447403
3087623,3087623,
3374517,3374517,
3083914,3083914,
3627410,3627410,
3727331,3727331,
3668577,3668577,
3606566,3606566,
,,
,,
3677413,3677413,
3510731,3510731,
3470702,3470702,
3638362,3638362,
3674525,3674525,
3619233,3619233,
22897233    3599488,22897233,   3599488
23126643    3599488,23126643,   3599488
3298641,3298641,
3460225,3460225,
3429856,3429856,
3429859,3429859,
3588155,3588155,
22547635,22547635,
3563216,3563216,
3377085,3377085,
23877967    3814418,23877967,   3814418
22925518    3593001,22925518,   3593001
41609,41609,
23710762,23710762,
,,
22901061    3533787,22901061,   3533787
3717178,3717178,
3775257,3775257,
,,
3427885,3427885,
3531601,3531601,
3477853,3477853,
23213218    3529057,23213218,   3529057
,,
,,
,,
23434854    3782194,23434854,   3782194
,,
23075508     3707011,23075508,    3707011
23295962,23295962,
,,
22302008    3405838,22302008,   3405838
3547901,3547901,
23966160,23966160,
3735711,3735711,
23974100,23974100,
23518502    3674087,23518502,   3674087
3536734,3536734,
3469460,3469460,
,,
3741215,3741215,
3592903,3592903,
23635806,23635806,
3672288,3672288,
23422316          3710354,23422316,         3710354
3594270,3594270,
3637335,3637335,
,,
,,
3526897,3526897,
23706023,23706023,
3761558,3761558,
23758132,23758132,
3549627,3549627,
24132152      3821636,24132152,     3821636
3717731,3717731,
3571806,3571806,
3077429,3077429,
3785137,3785137,
23567253     3641668,23567253,    3641668
,,
,,
3640431,3640431,
,,
3606975,3606975,
3780889,3780889,
3465389,3465389,
3670340,3670340,
3479458,3479458,
3529010,3529010,
3479523,3479523,
3538261,3538261,
3557024,3557024,
3666720,3666720,
3619373,3619373,
3587277,3587277,
3752214,3752214,
3746881,3746881,
3009818,3009818,
3607024,3607024,
23213245    3529034,23213245,   3529034
3581936,3581936,
23391734    3581986,23391734,   3581986
3612627,3612627,
3491471,3491471,
3503170,3503170,
23319650     3562850,23319650,    3562850
23650371 23650371,23650371,23650371
,,
3493860,3493860,
3817338,3817338,
3674354,3674354,
3730438,3730438,
3618382,3618382,
3619234,3619234,
3563982,3563982,
3584288,3584288,
,,
23703681      2013,23703681,     2013
3790930,3790930,
3597375,3597375,
3678977,3678977,
3574974,3574974,
3709474,3709474,
3644070,3644070,
3562455,3562455,
3731653,3731653,
2013,2013,
3709478,3709478,
3535331,3535331,
3480808,3480808,
3605607,3605607,
3388244,3388244,
23999103,23999103,
3476715            01 11 12,3476715,           01 11 12
3505832,3505832,
24108241,24108241,
3378494,3378494,
23328632    3619236,23328632,   3619236
23511972    3630358,23511972,   3630358
3671254,3671254,
3791366,3791366,
3642681,3642681,
3545308,3545308,
3616287,3616287,
3770947,3770947,
23670199     3701237,23670199,    3701237
3615658,3615658,
23632796,23632796,
,,
23229735     3734734,23229735,    3734734
3778837,3778837,
23743648,23743648,
23962810      2013,23962810,     2013
3674403,3674403,
3675710,3675710,
23302769    3677138,23302769,   3677138
3806405,3806405,
3535338,3535338,
3674234,3674234,
24157919    3826647,24157919,   3826647
3293425,3293425,
3615473,3615473,
3709497,3709497,
23149744    3514496,23149744,   3514496
3621422,3621422,
3778765,3778765,
3741640,3741640,
3604800,3604800,
3746700,3746700,
3656369,3656369,
3717539,3717539,
3682146,3682146,
3629389,3629389,
23686316,23686316,
23708655,23708655,
23975431,23975431,
23230506    3516806,23230506,   3516806
3557449,3557449,
3628164,3628164,
3492727,3492727,
24076655    3817463,24076655,   3817463
3631608,3631608,
3641407,3641407,
3731785,3731785,
3610641,3610641,
3684776,3684776,
3674235,3674235,
3512392,3512392,
3736456,3736456,
3503144,3503144,
3633361,3633361,
3639724,3639724,
3813311,3813311,
3132275,3132275,
3286332,3286332,
3673458,3673458,
3673465,3673465,
3692041,3692041,
,,
3754462,3754462,
,,
,,
,,
2013,2013,
3675899,3675899,
,,
2013,2013,
24047602,24047602,
,,
3669524,3669524,
,,
3552526,3552526,
2013,2013,
3584993,3584993,
3596849,3596849,
3842181,3842181,
23814040,23814040,
,,
,,
3510758,3510758,
3396314,3396314,
,,
3780998,3780998,
,,
23788479           3797641,23788479,          3797641
23493728           3654748,23493728,          3654748
,,
23945372,23945372,
3352832,3352832,
23595147          3675483,23595147,         3675483
23771140           3753647,23771140,          3753647
3467080,3467080,
3553950,3553950,
3553963,3553963,
3592466,3592466,
3592470,3592470,
3575838,3575838,
3627570,3627570,
3627603,3627603,
24038356,24038356,
,,
3281495,3281495,
3651613,3651613,
3494044,3494044,
,,
2013,2013,
3525058,3525058,
23892734,23892734,
3540040,3540040,
3616517,3616517,
,,
3177649,3177649,
3596848,3596848,
3749866,3749866,
3733698,3733698,
3594497,3594497,
3403862,3403862,
23620542,23620542,
22735079,22735079,
3819976,3819976,
3635503,3635503,
,,
3406756,3406756,
3413389,3413389,
22345357    3539454,22345357,   3539454
23396536    3652415,23396536,   3652415
22301630       3274377,22301630,      3274377
23672932    3684112,23672932,   3684112
3783091,3783091,
23162054,23162054,
3546795,3546795,
3570213,3570213,
3476336,3476336,
23658422    3694669,23658422,   3694669
3546802,3546802,
3496338,3496338,
3692042,3692042,
3159156,3159156,
3634199,3634199,
3501977,3501977,
3580272,3580272,
23250878    3525062,23250878,   3525062
3170535,3170535,
3381722,3381722,
,,
3662891,3662891,
23137768,23137768,
3377963,3377963,
2012,2012,
2013,2013,
2013,2013,
2013,2013,
3673173,3673173,
23884064,23884064,
23935057,23935057,
23172732    3784797,23172732,   3784797
3671775,3671775,
,,
3415954,3415954,
3613160,3613160,
3263993,3263993,
3313792,3313792,
3441120,3441120,
3583518,3583518,
23804751,23804751,
23933736    3842180,23933736,   3842180
3690967,3690967,
3600839,3600839,
23606632    3631001,23606632,   3631001
3535749,3535749,
3780999,3780999,
23771720,23771720,
24048963            2013,24048963,           2013
3749005,3749005,
3536641,3536641,
3818966,3818966,
22735079,22735079,
23328711    3685308,23328711,   3685308
3572772,3572772,
3643589,3643589,
